sample_id,altura_t1_cm,temp_t1_c,precipitacao_t1_mm,umidade_t1_pct,altura_t2_cm,temp_t2_c,precipitacao_t2_mm,umidade_t2_pct,temp_futuro_2d_c,precipitacao_futuro_2d_mm,umidade_futuro_2d_pct,crescimento_passado_2d_cm,crescimento_futuro_2d_cm
S09831,60.442,25.8,0.0,69.29,60.636,23.04,30.16,68.22,19.41,0.07,67.96,0.194,0.197
S03837,56.213,19.37,0.0,58.78,56.414,22.99,0.0,52.87,22.74,0.6,66.21,0.201,0.217
S05551,69.973,21.7,0.0,71.05,70.083,25.97,7.03,61.44,21.44,0.0,74.58,0.11,0.174
S03458,55.434,18.85,0.0,70.64,55.652,25.21,0.0,72.97,22.22,0.67,72.38,0.218,0.24
S02162,55.625,18.77,0.0,61.37,55.869,15.88,0.0,67.38,23.98,5.55,79.33,0.244,0.41
S00675,68.538,23.73,0.0,68.22,68.842,22.52,0.0,70.65,18.53,0.0,64.59,0.304,0.128
S05525,53.135,23.98,0.0,67.5,53.41,21.86,0.0,65.94,22.11,2.38,73.16,0.275,0.346
S04866,62.492,23.1,0.0,89.12,62.739,17.82,0.0,59.59,22.04,5.01,69.19,0.247,0.249
S04315,71.103,20.11,0.0,87.16,71.206,18.79,0.0,60.4,21.61,0.0,70.4,0.103,0.139
S03466,60.96,26.32,3.75,71.06,61.144,19.04,5.2,57.29,22.91,17.23,60.72,0.184,0.376
S08804,72.878,17.91,25.76,69.12,73.429,23.36,0.0,73.89,24.54,9.77,71.86,0.551,0.261
S06117,87.515,23.97,0.0,88.19,87.616,14.95,0.0,65.85,20.04,0.0,68.29,0.101,0.01
S07613,69.414,23.72,0.0,58.04,69.582,27.52,0.0,87.98,19.31,0.0,72.73,0.168,0.091
S02192,77.864,13.16,6.17,63.07,77.874,24.9,0.0,83.84,27.02,1.66,67.53,0.01,0.168
S09761,69.412,28.27,0.0,76.58,69.575,23.03,0.0,59.62,21.25,6.32,63.99,0.163,0.236
S07969,64.804,19.32,0.0,70.0,64.896,23.98,0.0,72.25,19.32,30.85,64.42,0.092,0.427
S04257,72.29,17.4,0.0,59.08,72.3,19.01,0.0,71.08,23.67,1.85,73.65,0.01,0.114
S07082,61.325,31.09,7.33,64.04,61.631,18.7,0.0,62.94,19.94,2.69,63.32,0.306,0.168
S02695,66.162,21.16,0.0,75.52,66.365,22.51,0.0,64.33,22.53,7.59,67.19,0.203,0.261
S06593,51.424,26.52,0.0,84.97,51.782,28.18,0.0,69.71,18.66,0.0,69.06,0.358,0.242
S08717,69.137,27.11,11.74,87.66,69.559,27.04,0.0,64.01,22.39,15.32,68.04,0.422,0.261
S01825,59.539,23.85,3.88,76.2,59.839,16.96,0.0,69.47,19.77,3.92,59.62,0.3,0.226
S06646,67.337,25.8,6.96,68.78,67.591,24.97,0.0,64.32,21.94,1.29,65.72,0.254,0.114
S01599,53.953,22.95,0.0,51.71,54.157,23.7,0.0,73.48,23.94,0.0,61.26,0.204,0.192
S08619,64.777,24.8,35.0,77.54,65.357,20.1,0.0,66.29,22.78,0.61,62.06,0.58,0.164
S08678,60.343,24.91,14.11,71.97,60.874,22.61,0.0,79.84,22.24,0.0,74.58,0.531,0.205
S03797,65.465,19.08,0.0,71.78,65.629,25.24,3.44,72.27,18.37,0.0,60.75,0.164,0.097
S05963,80.659,27.17,0.0,70.23,80.749,24.54,0.0,70.41,24.21,13.85,82.14,0.09,0.285
S07671,68.717,22.26,0.0,75.97,68.948,20.38,0.0,68.15,21.94,4.04,83.82,0.231,0.253
S07188,60.98,24.22,0.0,92.8,61.361,23.79,4.41,71.39,21.62,0.0,71.41,0.381,0.224
S08530,62.122,22.67,5.8,79.64,62.457,22.01,6.88,62.73,17.17,0.56,60.72,0.335,0.081
S05847,53.383,23.07,0.0,57.61,53.609,19.21,0.0,80.3,23.24,16.87,64.82,0.226,0.406
S07333,65.152,19.15,0.0,68.99,65.242,26.33,0.0,73.03,22.9,6.17,80.34,0.09,0.356
S02611,66.525,27.57,0.0,77.07,66.757,26.73,4.73,79.51,22.83,0.0,67.33,0.232,0.193
S02720,70.59,24.49,0.0,69.94,70.825,19.39,0.0,72.19,19.9,0.0,67.65,0.235,0.042
S04119,57.544,22.46,0.0,60.32,57.812,24.07,0.0,73.48,25.15,15.8,84.51,0.268,0.533
S09409,66.889,28.35,0.0,71.39,67.049,18.44,11.31,69.33,26.27,0.0,73.78,0.16,0.284
S09242,63.262,21.05,4.01,75.09,63.465,26.19,0.0,66.61,27.03,1.37,61.29,0.203,0.201
S00991,66.793,14.6,0.0,60.71,66.862,23.67,0.0,75.59,23.83,0.0,71.24,0.069,0.208
S05783,53.62,14.25,0.0,66.28,53.788,24.52,6.01,78.32,21.22,0.0,66.12,0.168,0.229
S01837,59.131,20.98,0.0,57.64,59.241,14.4,0.0,58.59,25.06,0.0,66.87,0.11,0.324
S08183,74.234,27.04,0.0,70.92,74.462,21.28,0.0,59.21,26.42,3.77,70.86,0.228,0.259
S07502,61.669,24.34,6.74,65.84,61.911,22.31,0.0,72.91,27.81,0.0,69.06,0.242,0.325
S03820,63.207,26.45,0.0,65.4,63.533,23.44,0.0,63.14,21.43,15.52,59.06,0.326,0.172
S07287,53.687,25.26,8.21,72.99,54.17,22.73,0.0,75.23,24.63,0.94,57.57,0.483,0.279
S09502,68.625,14.33,0.0,67.85,68.708,22.26,0.0,69.41,27.63,30.03,78.58,0.083,0.55
S09637,68.089,25.83,0.0,69.03,68.329,21.21,0.0,75.0,18.24,1.02,63.74,0.24,0.072
S07422,47.547,19.16,0.0,69.37,47.809,25.4,0.55,60.18,23.3,3.16,63.58,0.262,0.321
S05443,68.997,25.46,0.0,82.12,69.151,19.49,0.0,71.22,23.38,1.78,66.15,0.154,0.202
S09209,58.98,25.12,0.0,91.38,59.341,24.24,0.0,55.97,24.86,18.56,59.67,0.361,0.426
S02736,77.566,14.42,0.0,64.88,77.664,25.68,0.15,73.04,25.57,0.0,64.96,0.098,0.156
S06019,71.891,24.84,0.0,80.82,72.196,24.29,0.0,60.94,18.56,6.03,71.44,0.305,0.127
S04621,60.265,27.0,0.0,80.13,60.554,26.99,14.25,70.98,18.85,0.0,64.56,0.289,0.113
S03276,55.292,20.9,0.0,74.91,55.615,19.37,0.0,69.61,26.54,2.34,68.34,0.323,0.289
S01240,67.294,24.48,0.0,83.85,67.56,22.94,0.0,72.15,25.58,1.73,73.88,0.266,0.176
S00088,64.932,24.17,26.26,81.06,65.396,23.61,0.0,61.87,26.66,18.74,66.25,0.464,0.354
S05664,72.969,17.75,0.0,80.98,73.047,19.77,0.0,49.84,19.97,0.98,53.12,0.078,0.057
S06756,62.817,24.14,0.0,74.11,63.034,17.87,0.0,65.09,19.87,0.0,67.03,0.217,0.177
S06331,62.435,19.08,0.0,74.18,62.617,24.88,0.0,61.66,23.65,10.89,65.23,0.182,0.351
S09405,67.161,24.11,0.0,72.13,67.426,27.87,0.0,84.16,23.51,0.73,73.15,0.265,0.228
S00930,62.079,24.09,2.24,71.39,62.248,26.03,0.0,59.61,26.53,0.0,66.85,0.169,0.333
S03182,52.096,23.11,4.69,69.81,52.342,15.89,0.0,67.94,21.51,13.34,72.48,0.246,0.456
S07133,57.975,24.01,1.24,76.15,58.29,25.63,0.0,59.81,18.07,0.0,62.95,0.315,0.131
S09421,52.029,18.07,12.32,58.37,52.417,22.77,0.0,73.41,18.12,13.06,71.06,0.388,0.339
S01895,61.855,16.42,4.75,62.21,62.104,24.5,0.0,63.61,25.64,2.1,55.54,0.249,0.175
S00128,51.887,24.37,0.0,68.32,52.082,19.72,0.0,66.52,19.23,0.38,66.05,0.195,0.213
S01440,63.88,19.99,6.71,64.08,64.208,25.04,11.19,77.34,26.41,1.71,73.71,0.328,0.25
S08768,54.453,18.9,0.0,60.37,54.597,19.54,0.61,72.76,24.13,0.0,69.74,0.144,0.306
S00994,61.157,19.98,0.0,65.37,61.366,26.77,5.68,72.9,27.41,0.0,61.09,0.209,0.25
S07234,48.135,24.07,3.74,70.05,48.471,24.16,0.0,79.66,24.09,6.71,71.88,0.336,0.317
S00501,49.29,23.26,30.87,69.39,49.904,25.07,10.56,64.57,21.26,10.39,64.7,0.614,0.39
S03476,58.426,24.82,0.0,70.57,58.635,19.32,19.24,60.87,20.25,3.73,70.43,0.209,0.195
S04499,47.512,19.21,0.0,69.23,47.677,24.99,28.53,72.08,22.25,1.79,64.48,0.165,0.398
S04074,51.112,27.24,8.9,69.23,51.437,26.4,3.1,66.53,25.44,20.81,76.49,0.325,0.566
S01704,52.555,18.21,0.0,67.16,52.774,22.5,0.0,68.49,19.94,3.58,74.38,0.219,0.314
S02669,62.549,26.54,0.0,63.74,62.896,17.14,0.0,57.15,22.73,25.26,68.5,0.347,0.486
S03876,71.633,19.14,0.0,72.04,71.74,25.34,0.0,80.19,27.41,1.01,67.62,0.107,0.157
S06497,68.623,21.5,0.0,65.91,68.777,22.26,0.0,81.99,24.43,0.0,71.37,0.154,0.225
S01897,63.966,20.93,0.0,77.35,64.218,25.85,15.06,56.95,19.76,0.0,68.79,0.252,0.064
S05245,65.265,22.56,0.0,83.46,65.54,24.53,4.78,75.04,24.98,19.78,78.62,0.275,0.546
S01970,59.009,25.32,0.0,60.83,59.25,18.64,0.0,70.61,21.55,45.0,66.78,0.241,0.691
S05085,58.157,26.46,0.0,69.0,58.385,28.61,0.0,71.28,28.81,0.88,74.4,0.228,0.41
S03537,71.464,21.59,0.0,54.39,71.519,27.33,0.0,59.45,27.97,0.77,81.5,0.055,0.346
S06960,61.828,24.63,13.13,66.7,62.246,28.45,25.19,83.57,28.42,24.51,77.33,0.418,0.514
S01749,54.031,26.42,0.0,63.62,54.334,27.3,0.29,63.58,22.91,12.43,72.0,0.303,0.418
S03750,40.0,25.89,0.0,74.22,40.328,20.64,0.0,45.64,21.61,8.24,67.62,0.328,0.364
S01690,44.143,19.81,6.28,59.66,44.515,23.6,5.62,59.47,19.63,8.33,55.6,0.372,0.211
S07761,48.941,21.45,0.0,63.77,49.297,22.22,0.0,73.42,28.08,4.87,64.94,0.356,0.401
S04777,71.08,25.46,0.0,78.07,71.266,26.49,10.5,67.96,22.36,0.0,57.94,0.186,0.054
S00019,61.457,19.97,2.49,60.37,61.692,25.91,0.0,81.89,22.58,18.63,75.58,0.235,0.404
S06138,64.847,27.57,0.0,63.74,64.919,23.8,10.3,63.25,20.08,0.0,67.54,0.072,0.112
S01138,47.727,27.64,0.0,79.78,48.191,22.7,7.69,75.33,23.49,4.33,65.54,0.464,0.274
S04676,67.84,18.59,0.0,80.49,68.175,19.77,0.0,78.52,24.3,0.0,64.49,0.335,0.152
S09917,69.138,27.29,2.75,70.37,69.47,20.24,0.0,74.75,21.51,3.96,74.0,0.332,0.173
S03826,69.267,27.3,0.0,71.21,69.459,15.54,0.0,55.32,22.7,0.0,64.1,0.192,0.188
S07988,70.88,15.44,0.0,61.21,71.037,23.16,0.0,67.11,18.74,0.0,64.19,0.157,0.051
S01003,61.332,18.24,0.0,77.32,61.517,28.55,0.0,79.74,22.42,8.02,79.86,0.185,0.408
S07262,63.805,26.75,0.0,80.6,64.103,23.65,0.0,72.57,22.28,0.62,70.52,0.298,0.096
S07982,55.603,27.47,19.53,73.54,56.083,27.27,0.0,72.89,19.49,0.0,67.93,0.48,0.189
S03486,70.844,27.73,3.92,59.56,70.974,23.36,0.0,90.98,19.13,12.95,67.06,0.13,0.147
S04862,62.894,23.36,0.0,73.1,63.103,26.85,8.43,60.9,19.69,0.0,63.95,0.209,0.073
S00193,63.422,23.02,0.0,82.97,63.673,24.04,0.0,65.84,21.59,23.19,77.76,0.251,0.47
S04999,49.172,24.03,3.04,64.26,49.429,19.89,0.0,56.98,21.7,1.66,70.28,0.257,0.349
S06133,67.607,24.97,0.0,72.06,67.804,25.17,5.63,83.37,23.14,9.34,72.36,0.197,0.292
S00558,67.195,21.55,0.0,72.38,67.469,25.89,0.0,93.69,24.25,2.99,85.52,0.274,0.313
S03009,54.054,26.94,0.0,73.81,54.418,13.85,0.0,61.73,22.03,1.09,64.5,0.364,0.175
S04310,57.871,26.01,15.77,65.59,58.238,25.57,0.0,72.63,22.65,0.0,85.59,0.367,0.283
S05013,47.943,22.91,0.0,67.65,48.369,28.38,0.23,85.3,18.89,0.02,71.38,0.426,0.244
S05755,51.783,12.73,0.0,68.03,51.953,23.66,0.0,68.88,25.32,4.5,61.47,0.17,0.298
S00646,64.263,23.6,0.0,79.25,64.494,16.57,3.03,55.02,18.58,0.0,62.77,0.231,0.086
S00195,62.271,24.14,0.0,65.55,62.579,24.43,2.46,70.72,21.42,11.85,70.01,0.308,0.279
S04847,56.363,22.44,0.0,58.42,56.486,23.64,0.0,81.29,19.17,1.01,70.44,0.123,0.202
S05761,57.978,16.71,0.0,68.42,58.218,21.12,0.0,68.38,24.59,7.63,66.21,0.24,0.285
S07898,67.12,17.33,0.0,53.88,67.179,16.66,0.0,63.65,24.01,3.14,67.57,0.059,0.271
S00903,63.6,18.55,0.0,68.75,63.753,24.29,0.0,75.4,19.88,1.03,70.13,0.153,0.177
S04427,63.082,23.46,0.0,80.81,63.351,23.47,0.0,75.6,22.77,0.37,68.47,0.269,0.238
S03660,49.769,22.33,0.0,67.03,50.046,27.24,0.0,83.73,22.54,2.4,85.08,0.277,0.313
S08662,55.942,26.89,0.0,60.85,56.244,23.49,0.86,79.31,23.21,15.28,59.77,0.302,0.369
S01545,67.899,24.79,0.0,69.12,68.119,25.44,0.0,62.73,22.48,2.16,71.73,0.22,0.262
S07311,69.733,16.39,0.0,66.7,69.871,19.41,0.62,63.23,22.35,0.0,81.97,0.138,0.25
S04772,46.055,22.32,0.0,88.31,46.371,19.9,9.25,59.07,17.08,1.89,74.87,0.316,0.305
S06404,66.932,30.6,17.57,83.46,67.373,20.71,0.0,62.07,27.87,3.75,62.02,0.441,0.273
S04340,61.995,23.02,0.04,57.01,62.187,20.06,3.87,73.66,22.91,0.0,62.74,0.192,0.193
S04118,64.886,15.81,1.53,72.9,65.128,17.77,0.0,71.69,22.33,6.13,70.66,0.242,0.259
S07367,46.8,21.31,2.78,67.12,47.133,27.33,0.0,92.6,29.19,0.0,54.94,0.333,0.389
S04023,60.729,25.18,26.64,73.07,61.24,21.51,0.0,59.52,27.27,0.01,71.85,0.511,0.252
S09980,57.004,25.03,3.3,81.11,57.477,24.39,0.0,79.6,23.99,0.0,81.07,0.473,0.321
S00498,64.004,21.93,0.0,64.09,64.248,17.66,0.0,75.26,24.79,0.0,90.02,0.244,0.33
S07302,70.939,27.0,0.0,76.89,71.201,23.3,0.0,65.76,19.85,0.0,77.25,0.262,0.169
S02482,70.267,22.1,0.0,71.77,70.357,19.92,0.0,63.26,22.36,3.65,72.24,0.09,0.126
S07607,69.651,22.82,0.0,74.3,69.813,18.06,0.0,81.96,25.43,3.53,74.1,0.162,0.173
S01523,64.654,24.02,0.0,56.68,64.903,21.82,0.0,66.43,24.63,0.0,60.7,0.249,0.213
S01990,47.709,25.12,0.0,60.92,47.96,23.51,0.0,62.37,17.34,0.0,46.41,0.251,0.076
S07726,66.303,26.57,0.0,67.82,66.489,28.13,23.93,76.2,20.98,4.01,68.54,0.186,0.184
S04906,65.672,25.51,0.0,93.52,65.991,19.46,0.79,68.65,25.54,1.19,59.23,0.319,0.256
S00211,44.169,21.67,4.81,68.19,44.566,20.51,0.0,63.15,22.75,4.16,65.08,0.397,0.329
S09298,61.209,22.88,0.0,73.29,61.503,23.89,0.0,72.49,25.17,11.18,72.13,0.294,0.42
S00942,56.142,22.66,0.0,75.53,56.502,22.78,0.0,76.22,19.49,0.0,69.12,0.36,0.025
S00068,58.631,19.13,1.86,64.21,58.896,20.95,0.0,61.96,22.85,2.86,69.57,0.265,0.246
S01093,60.009,28.47,0.0,84.78,60.452,27.11,12.29,88.67,18.47,1.0,57.83,0.443,0.115
S02338,67.178,21.24,5.78,72.66,67.368,24.27,0.0,68.66,21.77,0.85,63.91,0.19,0.156
S04877,69.55,23.05,0.0,63.59,69.745,20.49,12.54,75.07,20.61,16.25,76.9,0.195,0.266
S08052,69.831,18.11,0.0,48.72,69.933,23.41,25.21,80.12,20.26,0.0,66.47,0.102,0.153
S02065,63.222,17.5,0.0,69.22,63.446,20.16,0.0,61.37,21.55,0.0,77.92,0.224,0.171
S06532,47.194,23.74,0.0,77.75,47.485,21.66,0.0,66.16,26.76,26.3,93.77,0.291,0.762
S04950,81.291,18.03,0.0,77.06,81.349,25.46,3.88,65.22,26.29,0.0,70.15,0.058,0.135
S02481,46.352,24.36,0.0,70.42,46.764,26.37,0.0,61.77,24.5,0.0,76.77,0.412,0.466
S01437,56.31,28.62,0.0,76.19,56.529,19.17,3.79,72.6,19.16,11.18,69.59,0.219,0.325
S00587,69.764,25.0,0.0,73.6,69.973,27.16,0.0,80.92,18.83,12.24,60.21,0.209,0.238
S02752,65.187,23.5,0.0,82.56,65.427,25.44,0.0,70.67,23.87,4.85,75.53,0.24,0.181
S07206,58.712,23.92,1.86,78.46,59.052,28.74,0.0,55.08,28.28,0.0,61.74,0.34,0.256
S06692,61.642,22.85,0.0,69.6,61.965,21.6,2.09,73.08,17.77,2.05,60.29,0.323,0.059
S03989,56.236,26.63,0.0,92.2,56.53,23.06,0.0,70.34,23.41,0.0,76.99,0.294,0.338
S04047,60.67,21.81,0.0,54.14,60.874,17.16,0.0,84.28,26.63,0.0,63.86,0.204,0.223
S03966,62.381,17.17,0.0,58.7,62.475,16.1,0.0,70.41,21.75,0.0,64.61,0.094,0.089
S08280,62.313,23.98,0.0,63.89,62.45,16.32,0.0,55.15,21.47,0.99,75.91,0.137,0.197
S01938,61.205,25.88,0.0,63.58,61.387,27.0,0.0,54.92,19.85,0.0,65.57,0.182,0.132
S08789,57.871,23.24,0.0,71.46,58.054,28.7,0.0,54.05,18.48,4.62,65.89,0.183,0.247
S01539,67.078,18.54,0.0,59.01,67.222,26.06,0.0,71.75,19.46,0.0,69.62,0.144,0.142
S09812,72.358,20.32,1.63,80.0,72.453,16.1,0.0,62.28,22.78,0.79,57.73,0.095,0.06
S09989,69.55,27.71,0.0,78.49,69.859,27.85,0.0,67.85,23.98,21.47,70.59,0.309,0.419
S06724,62.148,27.45,0.0,69.55,62.403,20.37,20.32,65.11,22.26,0.0,70.9,0.255,0.219
S06878,64.905,23.95,15.99,64.38,65.245,23.68,0.0,72.89,29.27,0.0,73.99,0.34,0.334
S00881,58.401,20.26,4.72,78.58,58.698,22.19,0.0,60.09,26.14,3.38,70.23,0.297,0.32
S01045,58.529,25.78,0.0,68.55,58.816,28.46,0.0,59.71,22.01,0.0,70.74,0.287,0.137
S02530,55.806,28.29,15.08,76.13,56.265,30.14,0.0,72.66,22.31,2.73,73.48,0.459,0.336
S05186,61.803,15.67,0.0,69.83,62.062,12.85,0.0,62.7,20.13,3.51,80.26,0.259,0.161
S04400,59.504,16.19,0.0,61.12,59.575,19.79,0.0,74.58,22.94,0.0,72.45,0.071,0.247
S02005,49.205,20.43,0.0,79.52,49.82,24.03,0.0,59.76,23.57,1.12,65.57,0.615,0.335
S03439,65.716,26.79,0.0,65.67,65.981,23.37,0.0,70.23,25.97,0.91,63.51,0.265,0.215
S00452,54.358,23.11,0.0,63.66,54.551,22.73,3.11,76.42,22.13,0.0,72.1,0.193,0.236
S00956,52.014,23.15,1.25,70.76,52.563,24.93,0.0,65.29,23.06,7.31,52.96,0.549,0.301
S07859,59.47,25.51,0.0,79.62,59.677,25.49,0.0,68.71,26.21,0.38,70.45,0.207,0.319
S09908,51.658,26.29,0.0,79.11,51.955,24.19,0.0,71.79,23.55,0.0,63.01,0.297,0.245
S06548,52.633,26.09,6.05,85.13,53.122,17.88,0.0,77.13,25.92,3.15,72.88,0.489,0.422
S06926,62.303,24.13,0.0,74.84,62.562,24.67,0.0,72.09,25.93,6.93,65.43,0.259,0.288
S03916,73.515,16.11,0.0,65.97,73.556,24.25,5.92,78.6,22.1,0.0,68.01,0.041,0.2
S08849,46.363,24.53,0.0,75.34,46.678,28.52,0.0,57.72,24.74,8.4,70.8,0.315,0.52
S02932,59.1,21.76,0.0,71.77,59.194,18.17,0.0,61.17,17.02,0.23,69.69,0.094,0.144
S08652,73.379,22.5,0.0,69.94,73.524,17.99,0.0,54.83,25.2,1.76,73.83,0.145,0.185
S07741,47.479,26.48,0.0,76.8,48.031,17.33,0.0,69.96,22.82,7.68,72.7,0.552,0.38
S08746,69.701,22.46,0.0,71.5,69.859,22.48,3.09,65.55,25.07,9.06,68.7,0.158,0.234
S08800,56.036,26.3,0.0,71.14,56.257,23.03,0.0,59.39,22.88,1.75,69.54,0.221,0.236
S08316,65.702,22.65,0.0,53.78,65.907,19.33,4.38,70.7,23.71,0.0,68.97,0.205,0.207
S04228,73.73,21.41,0.0,75.39,73.911,22.71,11.0,69.57,25.06,10.14,74.9,0.181,0.232
S01893,60.241,14.18,0.0,58.9,60.26,27.42,35.0,69.17,23.43,0.0,63.34,0.019,0.263
S04544,68.374,20.58,0.0,78.26,68.594,24.68,0.0,77.63,22.86,0.0,79.75,0.22,0.168
S08890,59.899,17.53,0.0,57.37,60.028,25.21,0.0,67.98,23.35,7.61,73.91,0.129,0.348
S00450,61.055,16.02,0.0,61.0,61.23,27.49,0.0,67.22,21.98,1.63,64.04,0.175,0.2
S05343,63.054,26.95,13.57,68.79,63.442,26.22,1.26,78.67,18.51,1.43,81.42,0.388,0.169
S08448,61.933,23.13,0.27,68.41,62.337,24.42,0.0,71.67,22.84,0.0,66.19,0.404,0.122
S09687,47.269,27.53,19.09,71.01,47.94,21.09,11.4,71.35,25.88,0.0,67.65,0.671,0.316
S01064,40.0,19.82,0.0,55.39,40.297,22.68,1.18,68.23,22.0,5.31,67.02,0.297,0.446
S00698,60.267,16.67,0.0,51.09,60.372,22.41,15.3,71.45,16.3,10.58,58.83,0.105,0.184
S07708,52.539,28.79,21.6,80.31,53.089,25.82,0.0,64.99,28.02,1.73,68.55,0.55,0.371
S03818,56.254,17.69,0.0,73.21,56.442,25.34,0.0,61.9,23.92,0.01,67.49,0.188,0.28
S08296,71.257,25.72,0.0,78.71,71.474,20.94,0.0,66.31,21.42,0.0,76.09,0.217,0.111
S04083,68.258,19.76,0.0,64.13,68.396,13.69,0.0,58.67,26.01,4.7,74.09,0.138,0.251
S09984,55.322,21.65,0.0,61.85,55.626,17.22,0.0,61.0,21.97,3.21,70.13,0.304,0.288
S03218,84.37,24.53,3.32,72.7,84.465,15.61,0.0,62.5,20.52,5.02,78.0,0.095,0.097
S01297,64.985,20.71,0.0,68.95,65.151,16.66,0.0,68.84,26.62,4.62,75.46,0.166,0.334
S07282,56.845,27.15,0.0,78.69,57.185,20.17,0.0,86.35,23.75,0.0,61.23,0.34,0.178
S06906,72.931,28.81,0.0,73.05,73.168,17.98,0.0,66.75,19.19,12.78,69.73,0.237,0.192
S09177,63.442,18.28,0.0,72.58,63.809,17.13,0.0,73.26,21.54,0.0,73.65,0.367,0.111
S04770,66.309,19.54,0.0,70.86,66.569,18.36,0.0,50.78,18.25,0.0,72.81,0.26,0.154
S05055,71.896,19.02,22.63,88.83,72.244,21.9,0.46,67.92,23.19,4.32,70.99,0.348,0.204
S08930,61.387,24.66,24.92,65.11,62.086,19.09,0.0,62.98,21.27,0.0,65.52,0.699,0.142
S03034,54.507,25.22,0.0,45.04,54.686,20.45,0.0,70.09,19.65,0.0,75.59,0.179,0.252
S09360,77.813,22.5,0.0,74.58,77.964,25.9,0.0,74.58,23.73,0.38,60.43,0.151,0.172
S02307,68.306,24.37,1.8,63.23,68.397,26.53,0.0,65.89,22.68,0.0,60.2,0.091,0.126
S00886,58.858,26.93,0.0,67.62,59.194,25.21,0.0,66.8,27.07,9.2,76.17,0.336,0.394
S09810,66.395,17.43,0.0,76.41,66.6,23.62,18.57,78.13,26.38,0.0,86.36,0.205,0.352
S01899,66.726,26.85,0.0,79.23,67.052,21.58,12.2,78.49,27.11,3.79,57.03,0.326,0.262
S02924,74.269,21.52,7.65,78.51,74.545,22.56,0.0,64.0,17.82,0.0,69.99,0.276,0.066
S09693,59.556,28.29,0.0,64.25,59.857,23.73,0.0,71.92,22.31,0.0,70.33,0.301,0.187
S00959,71.966,24.78,0.0,74.83,72.239,25.7,19.68,73.05,23.26,24.29,72.0,0.273,0.414
S04543,85.394,16.4,0.0,71.25,85.431,20.4,0.0,77.36,22.96,19.31,69.74,0.037,0.35
S09002,69.914,23.49,0.0,80.7,70.079,21.94,0.0,78.92,21.25,1.51,59.23,0.165,0.076
S09685,60.222,12.0,0.0,73.02,60.357,22.66,1.81,65.96,23.68,8.07,69.6,0.135,0.351
S04741,68.359,25.62,0.0,71.39,68.631,22.18,0.0,60.7,21.64,36.48,65.36,0.272,0.458
S03744,56.64,21.55,0.0,70.23,56.905,25.65,0.0,78.4,24.06,2.55,59.76,0.265,0.218
S05171,47.54,26.9,0.0,72.14,47.987,20.29,0.0,68.2,23.9,0.0,73.12,0.447,0.312
